username	bagel_id	score	comment
Brandon&Xiaoshan	5	7	Huge bagel. Really airy dough. Tastes more like sourdough bread than a bagel. Better than average; but points taken away because it doesn't taste like a bagel. 
Brandon&Xiaoshan	6	3	Dough looked uneven, looks like it wasn't raised properly. Really salty. Feels like eating a pretzel. Too dense even on the bigger end.
Brandon&Xiaoshan	7	8	 Slightly sweet. Really soft center.  Would be even better with a stronger brioche flavor
Brandon&Xiaoshan	8	9	Covered in poppy seed lol. Strong sesame flavor. Sweet dough. Good consistency. Chewy. Brandon's favorite.
Brandon&Xiaoshan	9	7	Sourdough. Love the sour flavor. Strong sesame flavor. The crust is a bit tough. Cream cheese definitely brings out the sour flavor more. Good consistency.
Brandon&Xiaoshan	10	7	Strong everything flavor. Not bad. Middle of the road everything. Edit: it grows on you as you eat more. Crust is slightly tough.
Brandon&Xiaoshan	11	7	Really soft, chewy center. Good texture but everything else was just OK. 
Brandon&Xiaoshan	12	5	bagel slightly salty. Big air bubbles, feels like the yeast was uneven. Meh
Brandon&Xiaoshan	13	9	Tasty dough. Not a lot of spice on it. Great if you don't like super strong everything flavor. Not great if you want your bagel covered in everything. 
Brandon&Xiaoshan	14	2	Tiny bagel. super dense. Dough didn't rise. Really hard to bite and even harder to chew. Our jaws hurt lol 
Brandon&Xiaoshan	15	8	Giant bagel. Really light. Liked the texture a lot. Not super strong flavor. Slightly sweet. Overall a decent bagel. 
NULL	1	5	Taste a little stale, not a lot of flavor. Texture-wise it’s more like bread rather than bagel
NULL	2	6	Looks solid, texture is better than #1 but still not close to an ideal bagel. Also more flavorful than #1.
NULL	3	8	Great crust color, the crumb is surprisingly open but the texture is actually not bad! Flavorful.
NULL	4	6	The everything topping looks a little sad, not a lot of garlic. Texture is fine but not great. Wish there are more chew and more crust.
NULL	5	8	The only thing I don’t like is that there’s way too much poppy seed. Good texture - crust and interior are both good.
NULL	6	7	Impressive height. A little too hard for my taste. Not a bad bagel.
NULL	7	6	Don’t like the texture. Also a little too sweet. Not chewy enough and the crust is not good either.
NULL	8	9	This is probably my favorite by far. Great flavor - salty enough to eat by itself. Good chewy and good crust. Also like the fact the everything topping is covered both sides.
NULL	9	9	Great chew! And is this a sourdough bagel? Love the tangy taste. The crumb looks good too.
NULL	10	7	Texture is good but lack of flavor. Wish there are more topping
NULL	11	5	Too salty. Is this the 3 girl bakery one? I think I recognized its crumb/interior, which there’s big air pockets. Also taste stale too.
NULL	12	7	If I walk in a random bagel shop and got this bagel, I wouldn’t be mad but won’t come back either. It’s a pretty standard bagel.
NULL	13	6	Not a lot of topping. A little too soft. Also smaller than most? A little sad looking for a bagel.
NULL	14	7	It doesn’t taste like a bagel but I like it. It’s not chewy and hasn’t got the boiling mark on its surface, which I suspect it hasn’t been boiled before baking. Reminds me of the Little Largo bagel I tried. 
NULL	15	7	Another standard tasting bagel. Could be chewier, but looks good and flavor is okay too.
